endpoint,k,variant,negative_intent,terms_with_volume,total_volume,weighted_violation_rate,weighted_compliant_rate,weighted_unclear_rate
lexical,36,control,no melt,1,2781,1.0,0.0,0.0
lexical,36,control,non absorbent,1,1507,0.25,0.25,0.5
lexical,36,control,"non clumping unscented cat litter

the user is actually looking for cat litter",1,11479,0.8333333333333334,0.055555555555555504,0.1111111111111111
lexical,36,control,pea,1,5939,1.0,0.0,0.0
lexical,36,control,pill,1,2506,0.861111111111111,0.1388888888888889,0.0
lexical,36,control,poop eating,1,16984,0.2666666666666666,0.6666666666666666,0.0666666666666666
lexical,36,control,probiotic,1,982,0.9166666666666666,0.0277777777777777,0.0555555555555555
lexical,36,control,protein,1,5096,1.0,0.0,0.0
lexical,36,control,rice,1,1195,0.8055555555555556,0.0833333333333333,0.1111111111111111
lexical,36,control,salt,1,1015,0.0,0.0,1.0
lexical,36,control,scented,1,1755,0.9166666666666666,0.0277777777777777,0.0555555555555555
lexical,36,control,scoot,1,25922,0.8611111111111112,0.05555555555555549,0.08333333333333329
lexical,36,control,seafood,1,1668,0.3333333333333333,0.4444444444444444,0.2222222222222222
lexical,36,control,shell,1,1278,0.1111111111111111,0.25,0.6388888888888888
lexical,36,control,soy and corn,1,1287,0.0555555555555555,0.4722222222222222,0.4722222222222222
lexical,36,control,spray,1,2497,1.0,0.0,0.0
lexical,36,control,squeaker,1,1524,1.0,0.0,0.0
lexical,36,control,squeaky,1,17562,0.0,0.0,1.0
lexical,36,control,squirrel,1,5398,0.3333333333333333,0.5833333333333334,0.0833333333333333
lexical,36,control,stink,1,3161,0.2727272727272727,0.7272727272727273,0.0
lexical,36,control,stuff,1,1489,0.6,0.3333333333333333,0.0666666666666666
lexical,36,control,stuffed,1,6207,0.0,1.0,0.0
lexical,36,control,sunflower seeds,1,3792,0.8611111111111112,0.0277777777777777,0.1111111111111111
lexical,36,control,tear,1,7647,0.4444444444444444,0.3888888888888889,0.1666666666666666
lexical,36,control,toot,1,1991,1.0,0.0,0.0
lexical,36,control,toxic,1,1267,0.0,1.0,0.0
lexical,36,control,track,1,1419,0.3888888888888889,0.19444444444444436,0.4166666666666667
lexical,36,control,"unscented
dust",1,1250,0.25,0.6111111111111112,0.1388888888888889
lexical,36,control,waste free,1,2251,1.0,0.0,0.0
lexical,36,control,yeast,1,6961,0.0277777777777777,0.0,0.9722222222222222
lexical,10,control,all negative intent,793,7012954,0.22081315864988552,0.7359002090534944,0.04328663229662009
lexical,10,control,grain,332,2692575,0.06078241678431088,0.9319070677755951,0.007310515440094004
lexical,10,control,chicken,59,461986,0.8018591472468861,0.17790820501054141,0.020232647742572284
